,Product,Minimum,Maximum,Average,Date
11,Capsicum KG,50.0,55.0,53.0,2013-06-21
12,Carrot(Local) KG,40.0,45.0,43.0,2013-06-21
13,Cauli Local KG,20.0,24.0,22.0,2013-06-21
14,Celery KG,120.0,130.0,125.0,2013-06-21
15,Chilli Dry KG,170.0,180.0,175.0,2013-06-21
16,Chilli Green KG,50.0,60.0,55.0,2013-06-21
17,Christophine KG,35.0,40.0,38.0,2013-06-21
18,Clive Dry KG,70.0,80.0,75.0,2013-06-21
19,Clive Green KG,50.0,60.0,55.0,2013-06-21
20,Coriander Green KG,50.0,70.0,60.0,2013-06-21
21,Cow pea(Long) KG,30.0,35.0,33.0,2013-06-21
22,Cress Leaf KG,45.0,50.0,48.0,2013-06-21
23,Cucumber(Local) KG,25.0,30.0,28.0,2013-06-21
24,Drumstick KG,45.0,50.0,48.0,2013-06-21
25,Fennel Leaf KG,45.0,50.0,48.0,2013-06-21
26,Fenugreek Leaf KG,45.0,50.0,48.0,2013-06-21
27,Fish Fresh KG,210.0,220.0,215.0,2013-06-21
28,French Bean(Local) KG,35.0,40.0,38.0,2013-06-21
29,Garlic Dry Chinese KG,100.0,110.0,105.0,2013-06-21
30,Garlic Dry Nepali KG,50.0,60.0,55.0,2013-06-21
31,Garlic Green KG,45.0,50.0,48.0,2013-06-21
32,Ginger KG,130.0,140.0,135.0,2013-06-21
33,Grapes(Green) KG,250.0,260.0,255.0,2013-06-21
34,Green Peas KG,55.0,60.0,58.0,2013-06-21
35,Gundruk KG,180.0,190.0,185.0,2013-06-21
36,Jack Fruit KG,15.0,20.0,18.0,2013-06-21
37,Lettuce KG,40.0,45.0,43.0,2013-06-21
38,Lime KG,200.0,400.0,300.0,2013-06-21
39,Mango(Maldah) KG,40.0,50.0,45.0,2013-06-21
40,Mint KG,120.0,130.0,125.0,2013-06-21
41,Mushroom(Kanya) KG,180.0,200.0,190.0,2013-06-21
42,Mustard Leaf KG,35.0,40.0,38.0,2013-06-21
43,Neuro KG,50.0,60.0,55.0,2013-06-21
44,Okara KG,45.0,55.0,50.0,2013-06-21
45,Onion Dry (Indian) KG,34.0,35.0,35.0,2013-06-21
46,Onion Green KG,35.0,40.0,38.0,2013-06-21
47,Papaya(Nepali) KG,55.0,60.0,58.0,2013-06-21
48,Parseley KG,180.0,190.0,185.0,2013-06-21
49,Pineapple 1 Pc,60.0,70.0,65.0,2013-06-21
50,Pointed Gourd(Local) KG,30.0,35.0,33.0,2013-06-21
51,Pomegranate KG,200.0,210.0,205.0,2013-06-21
52,Potato Red KG,21.0,22.0,22.0,2013-06-21
53,Potato White KG,16.0,17.0,17.0,2013-06-21
54,Pumpkin KG,18.0,20.0,19.0,2013-06-21
55,Raddish Red KG,35.0,40.0,38.0,2013-06-21
56,Raddish White(Local) KG,25.0,30.0,28.0,2013-06-21
57,Red Cabbbage KG,70.0,80.0,75.0,2013-06-21
58,Smooth Gourd KG,18.0,22.0,20.0,2013-06-21
59,Snake Gourd KG,35.0,40.0,38.0,2013-06-21
60,Soyabean Green KG,55.0,60.0,58.0,2013-06-21
61,Spinach Leaf KG,45.0,50.0,48.0,2013-06-21
62,Sponge Gourd KG,45.0,50.0,48.0,2013-06-21
63,Squash(Long) KG,18.0,20.0,19.0,2013-06-21
64,Sugarbeet KG,35.0,40.0,38.0,2013-06-21
65,Sugarcane Per Piece,50.0,60.0,55.0,2013-06-21
66,Sweet Orange KG,90.0,100.0,95.0,2013-06-21
67,Tamarind KG,65.0,70.0,68.0,2013-06-21
68,Tofu KG,55.0,60.0,58.0,2013-06-21
69,Tomato Big(Nepali) KG,25.0,30.0,28.0,2013-06-21
70,Tomato Small(Local) KG,15.0,20.0,18.0,2013-06-21
71,Turnip KG,45.0,50.0,48.0,2013-06-21
72,Turnip A KG,45.0,50.0,48.0,2013-06-21
73,Water Melon(Green) KG,16.0,18.0,17.0,2013-06-21
0,Apple(Jholey) KG,110.0,130.0,120.0,2013-06-25
1,Arum KG,28.0,32.0,30.0,2013-06-25
2,Asparagus KG,100.0,125.0,116.0,2013-06-25
3,Bamboo Shoot KG,50.0,60.0,55.0,2013-06-25
4,Banana Per Dozen,60.0,70.0,65.0,2013-06-25
5,Bitter Gourd KG,25.0,30.0,28.0,2013-06-25
6,Bottle Gourd KG,30.0,35.0,33.0,2013-06-25
